"filename", "language", "JavaScript", "Markdown", "JSON", "Solidity", "CSS", "HTML", "comment", "blank", "total"
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerRequests.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 9, 129
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/SellerStores.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Settings.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 5, 50
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/Shipping.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 12, 102
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ShippingAddressFormScreen.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 15, 194
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreDescriptionScreen.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 6, 89
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreDetail.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 7, 75
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreProductsScreen.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/StoreScreen.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 12, 120
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UploadProduct.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 16, 260
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserInfoScreen.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 13, 214
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserOrdersScreen.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 8, 189
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/UserReviewsScreen.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/apple/Desktop/Projects/sanitary-store/frontend/src/Screens/ViewOrderScreen.js", "JavaScript", 162, 0, 0, 0, 0, 0, 1, 6, 169
